decaimiento (us);evento;evento restado
40000;1707958471;1
40000;1707958472;2
40031;1707958473;3
40009;1707958474;4
40022;1707958475;5
40017;1707958476;6
40014;1707958477;7
40021;1707958478;8
40013;1707958479;9
40027;1707958481;11
40027;1707958482;12
40014;1707958483;13
40018;1707958484;14
40018;1707958485;15
40015;1707958486;16
40016;1707958487;17
40024;1707958488;18
40016;1707958489;19
40021;1707958490;20
40004;1707958491;21
40004;1707958492;22
40002;1707958493;23
40001;1707958494;24
40005;1707958495;25
40010;1707958496;26
40012;1707958497;27
40015;1707958498;28
40008;1707958499;29
40016;1707958500;30
40015;1707958501;31
40009;1707958502;32
1820;1707958502;32
40016;1707958503;33
40013;1707958504;34
40019;1707958505;35
40003;1707958506;36
40019;1707958507;37
40012;1707958508;38
40021;1707958509;39
40011;1707958510;40
40009;1707958511;41
40006;1707958512;42
40010;1707958513;43
40009;1707958514;44
40008;1707958515;45
40009;1707958516;46
1880;1707958516;46
460;1707958516;46
440;1707958516;46
60;1707958516;46
440;1707958516;46
80;1707958516;46
80;1707958516;46
480;1707958516;46
1300;1707958516;46
700;1707958516;46
40;1707958516;46
40;1707958516;46
2340;1707958516;46
40025;1707958517;47
40010;1707958518;48
40016;1707958519;49
40009;1707958520;50
40014;1707958521;51
40008;1707958522;52
40005;1707958523;53
40015;1707958524;54
40004;1707958525;55
40007;1707958526;56
40013;1707958527;57
40009;1707958528;58
40008;1707958529;59
40009;1707958530;60
40012;1707958531;61
40009;1707958532;62
40009;1707958533;63
40008;1707958534;64
40011;1707958535;65
40009;1707958536;66
40006;1707958537;67
40005;1707958538;68
40004;1707958539;69
40011;1707958540;70
2120;1707958540;70
40009;1707958541;71
40007;1707958542;72
40007;1707958543;73
40002;1707958544;74
40005;1707958545;75
40006;1707958546;76
40008;1707958547;77
40005;1707958548;78
40002;1707958549;79
40010;1707958550;80
40008;1707958551;81
40004;1707958552;82
40007;1707958553;83
40009;1707958554;84
40009;1707958555;85
40005;1707958556;86
40005;1707958557;87
40008;1707958558;88
40006;1707958559;89
40008;1707958560;90
40006;1707958561;91
40004;1707958562;92
40005;1707958563;93
40010;1707958564;94
40007;1707958565;95
40007;1707958566;96
40006;1707958567;97
40011;1707958568;98
40008;1707958569;99
40009;1707958570;100
40009;1707958571;101
40008;1707958572;102
40005;1707958573;103
40006;1707958574;104
40006;1707958575;105
40006;1707958576;106
40004;1707958577;107
40002;1707958578;108
40006;1707958579;109
40007;1707958580;110
40010;1707958581;111
40005;1707958582;112
40008;1707958583;113
40006;1707958584;114
40009;1707958585;115
40005;1707958586;116
40006;1707958587;117
40006;1707958588;118
40009;1707958589;119
40005;1707958590;120
40007;1707958591;121
40007;1707958592;122
40010;1707958593;123
40006;1707958594;124
6520;1707958594;124
40011;1707958595;125
40008;1707958596;126
40008;1707958597;127
40010;1707958598;128
40006;1707958599;129
40003;1707958600;130
40004;1707958601;131
40009;1707958602;132
40008;1707958603;133
40006;1707958604;134
40009;1707958605;135
40009;1707958606;136
40007;1707958607;137
40009;1707958608;138
40009;1707958609;139
40008;1707958610;140
40007;1707958611;141
40009;1707958612;142
40003;1707958613;143
40009;1707958614;144
40009;1707958615;145
40010;1707958616;146
40005;1707958617;147
40003;1707958618;148
40010;1707958619;149
40008;1707958620;150
40007;1707958621;151
40004;1707958622;152
40004;1707958623;153
40005;1707958624;154
40005;1707958625;155
40007;1707958626;156
40003;1707958627;157
40005;1707958628;158
40009;1707958629;159
40010;1707958630;160
40007;1707958631;161
40003;1707958632;162
40002;1707958633;163
40009;1707958634;164
40004;1707958635;165
40003;1707958636;166
40001;1707958637;167
40001;1707958638;168
40010;1707958639;169
40006;1707958640;170
40006;1707958641;171
40007;1707958642;172
40006;1707958643;173
40004;1707958644;174
40004;1707958645;175
40006;1707958646;176
40008;1707958647;177
40003;1707958648;178
40004;1707958649;179
40006;1707958650;180
40004;1707958651;181
40004;1707958652;182
40006;1707958653;183
40004;1707958654;184
40005;1707958655;185
40006;1707958656;186
40006;1707958657;187
40005;1707958658;188
40002;1707958659;189
40004;1707958660;190
40003;1707958661;191
40002;1707958662;192
40005;1707958663;193
40001;1707958664;194
40008;1707958665;195
40006;1707958666;196
40003;1707958667;197
40003;1707958668;198
40007;1707958669;199
40007;1707958670;200
40006;1707958671;201
40003;1707958672;202
40003;1707958673;203
40003;1707958674;204
40007;1707958675;205
40003;1707958676;206
40008;1707958677;207
40005;1707958678;208
40003;1707958679;209
40002;1707958680;210
40003;1707958681;211
40003;1707958682;212
40003;1707958683;213
40001;1707958684;214
40002;1707958685;215
40005;1707958686;216
40003;1707958687;217
40002;1707958688;218
40002;1707958689;219
40003;1707958690;220
40003;1707958691;221
40003;1707958692;222
40008;1707958693;223
40005;1707958694;224
40006;1707958695;225
40003;1707958696;226
40003;1707958697;227
40005;1707958698;228
40004;1707958699;229
40003;1707958700;230
40005;1707958701;231
3700;1707958702;232
40001;1707958702;232
40008;1707958703;233
40002;1707958704;234
40002;1707958705;235
40011;1707958706;236
40005;1707958707;237
40006;1707958708;238
40004;1707958709;239
40003;1707958710;240
40008;1707958711;241
40001;1707958712;242
40000;1707958713;243
40005;1707958714;244
40003;1707958715;245
40005;1707958716;246
40005;1707958717;247
40005;1707958718;248
40004;1707958719;249
40002;1707958720;250
4300;1707958721;251
40003;1707958721;251
40001;1707958722;252
40007;1707958723;253
40004;1707958724;254
40004;1707958725;255
40003;1707958726;256
40009;1707958727;257
40004;1707958728;258
40004;1707958729;259
40004;1707958730;260
40004;1707958731;261
40005;1707958732;262
40006;1707958733;263
40006;1707958734;264
40001;1707958735;265
40003;1707958736;266
40001;1707958737;267
40004;1707958738;268
40006;1707958739;269
40004;1707958740;270
40003;1707958741;271
40006;1707958742;272
40004;1707958743;273
40005;1707958744;274
40008;1707958745;275
40003;1707958746;276
40005;1707958747;277
40009;1707958748;278
40006;1707958749;279
40004;1707958750;280
40003;1707958751;281
40008;1707958752;282
40003;1707958753;283
40003;1707958754;284
40003;1707958755;285
40008;1707958756;286
40007;1707958757;287
40006;1707958758;288
40004;1707958759;289
40003;1707958760;290
40003;1707958761;291
40005;1707958762;292
40006;1707958763;293
40004;1707958764;294
40002;1707958765;295
40004;1707958766;296
40006;1707958767;297
40002;1707958768;298
40002;1707958769;299
40006;1707958770;300
40002;1707958771;301
40007;1707958773;303
40004;1707958774;304
40005;1707958775;305
40003;1707958776;306
40003;1707958777;307
40005;1707958778;308
40003;1707958779;309
40003;1707958780;310
40003;1707958781;311
40004;1707958782;312
40004;1707958783;313
40006;1707958784;314
40007;1707958785;315
40003;1707958786;316
40003;1707958787;317
40001;1707958788;318
40003;1707958789;319
2560;1707958789;319
40006;1707958790;320
40005;1707958791;321
40005;1707958792;322
40002;1707958793;323
40004;1707958794;324
40005;1707958795;325
40004;1707958796;326
40010;1707958797;327
40004;1707958798;328
40005;1707958799;329
40004;1707958800;330
40006;1707958801;331
40007;1707958802;332
40008;1707958803;333
40007;1707958804;334
40004;1707958805;335
40004;1707958806;336
40007;1707958807;337
40002;1707958808;338
40007;1707958809;339
40000;1707958810;340
40002;1707958811;341
40002;1707958812;342
40010;1707958813;343
40006;1707958814;344
40009;1707958815;345
40003;1707958816;346
40008;1707958817;347
1280;1707958817;347
40005;1707958818;348
40007;1707958819;349
40004;1707958820;350
40006;1707958821;351
40008;1707958822;352
40007;1707958823;353
40004;1707958824;354
40006;1707958825;355
40011;1707958826;356
40009;1707958827;357
40008;1707958828;358
40008;1707958829;359
560;1707958829;359
40008;1707958830;360
40005;1707958831;361
40003;1707958832;362
40008;1707958833;363
40014;1707958834;364
40011;1707958835;365
40011;1707958836;366
40009;1707958837;367
40008;1707958838;368
40006;1707958839;369
660;1707958839;369
40009;1707958840;370
40013;1707958841;371
40009;1707958842;372
40007;1707958843;373
40005;1707958844;374
40012;1707958845;375
40010;1707958846;376
40011;1707958847;377
40010;1707958848;378
40008;1707958849;379
40008;1707958850;380
40010;1707958851;381
40011;1707958852;382
40006;1707958853;383
40012;1707958854;384
40012;1707958855;385
40009;1707958856;386
40007;1707958857;387
40009;1707958858;388
40011;1707958859;389
40012;1707958860;390
40010;1707958861;391
40010;1707958862;392
40010;1707958863;393
40008;1707958864;394
3880;1707958865;395
40012;1707958865;395
40008;1707958866;396
40007;1707958867;397
40007;1707958868;398
40003;1707958869;399
40001;1707958870;400
40010;1707958871;401
40012;1707958872;402
40010;1707958873;403
40007;1707958874;404
40006;1707958875;405
40004;1707958876;406
40011;1707958877;407
40003;1707958878;408
40006;1707958879;409
40006;1707958880;410
40004;1707958881;411
40008;1707958882;412
40007;1707958883;413
40006;1707958884;414
40006;1707958885;415
40006;1707958886;416
540;1707958886;416
40008;1707958887;417
40011;1707958888;418
40008;1707958889;419
40005;1707958890;420
